"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 11 19:14:06 CEST 2022","Sun Sep 11 19:14:29 CEST 2022","22884","","As an eligible visitor I can receive a quote","","","","[001] eligible visitor requests a quote",""
"passed","Sun Sep 11 19:17:23 CEST 2022","Sun Sep 11 19:17:39 CEST 2022","16240","","As an not eligible visitor I cannot receive a quote","","","","[002] not eligible visitor requests a quote",""
